age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,id
44,M,6465,Marié(e),Consulting,Manager,2,80,9,4,2,Non,0,5,1,10,4,Autre,Y,Occasionnel,1,3,4,3,2,4,4,4,3,Oui,13.0,40
30,M,2206,Célibataire,Consulting,Consultant,1,80,10,10,0,Non,0,5,1,9,2,Transformation Digitale,Y,Occasionnel,1,8,4,2,1,3,1,3,3,Non,13.0,41
39,M,2086,Marié(e),Commercial,Représentant Commercial,3,80,19,1,0,Oui,1,6,1,5,3,Entrepreunariat,Y,Occasionnel,0,0,4,3,2,4,3,4,3,Non,14.0,42
24,M,2293,Marié(e),Consulting,Assistant de Direction,2,80,6,2,0,Oui,1,2,1,1,3,Transformation Digitale,Y,Occasionnel,2,0,2,3,1,4,1,2,3,Oui,16.0,45
43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,80,6,5,3,Non,2,3,1,2,2,Transformation Digitale,Y,Occasionnel,1,4,4,4,1,3,4,2,3,Non,12.0,46
50,M,2683,Marié(e),Commercial,Représentant Commercial,1,80,3,3,2,Oui,0,2,1,3,2,Marketing,Y,Occasionnel,0,2,1,2,1,3,3,3,3,Oui,14.0,47
35,F,2014,Marié(e),Commercial,Représentant Commercial,1,80,2,2,2,Non,0,3,1,2,3,Marketing,Y,Occasionnel,2,2,4,3,1,4,1,3,3,Non,13.0,49
36,F,3419,Marié(e),Consulting,Assistant de Direction,9,80,6,1,1,Non,1,3,1,5,4,Infra & Cloud,Y,Occasionnel,0,0,2,2,1,1,4,4,3,Oui,14.0,51
33,F,5376,Marié(e),Commercial,Cadre Commercial,2,80,10,5,3,Non,2,3,1,1,3,Infra & Cloud,Y,Frequent,1,3,3,4,2,1,1,3,3,Non,19.0,52
35,M,1951,Divorcé(e),Consulting,Consultant,1,80,1,1,0,Non,1,3,1,4,2,Autre,Y,Occasionnel,0,0,3,3,1,4,3,3,3,Non,12.0,53
27,F,2341,Divorcé(e),Consulting,Consultant,1,80,1,1,0,Non,1,6,1,2,4,Infra & Cloud,Y,Occasionnel,0,0,4,3,1,1,4,3,3,Non,13.0,54
26,M,2293,Célibataire,Consulting,Consultant,1,80,1,1,0,Oui,0,2,1,25,3,Infra & Cloud,Y,Occasionnel,0,1,1,1,1,3,3,2,3,Non,12.0,55
27,M,8726,Célibataire,Commercial,Cadre Commercial,1,80,9,9,8,Non,0,0,1,8,3,Infra & Cloud,Y,Frequent,1,7,4,3,3,3,4,3,3,Non,15.0,56
30,F,4011,Célibataire,Consulting,Consultant,1,80,12,12,8,Non,0,2,1,1,2,Transformation Digitale,Y,Frequent,3,7,3,3,2,4,4,3,4,Non,23.0,57
41,F,19545,Marié(e),Consulting,Directeur Technique,1,80,23,22,15,Oui,0,0,1,12,3,Entrepreunariat,Y,Occasionnel,15,8,2,3,5,3,4,3,3,Non,12.0,58
34,M,4568,Célibataire,Commercial,Cadre Commercial,0,80,10,9,5,Non,0,2,1,23,4,Marketing,Y,Aucun,8,7,2,3,2,3,3,3,4,Non,20.0,60
37,M,3022,Marié(e),Consulting,Assistant de Direction,4,80,8,1,0,Non,0,1,1,19,2,Infra & Cloud,Y,Occasionnel,0,0,2,3,1,2,1,3,4,Non,21.0,61
46,M,5772,Célibataire,Commercial,Cadre Commercial,4,80,14,9,6,Non,0,4,1,5,4,Marketing,Y,Frequent,0,8,1,3,2,4,3,3,4,Oui,21.0,62
35,M,2269,Marié(e),Consulting,Consultant,1,80,1,1,0,Non,0,2,1,8,1,Infra & Cloud,Y,Occasionnel,0,1,4,4,1,4,4,3,3,Non,19.0,63
48,M,5381,Célibataire,Consulting,Consultant,9,80,23,1,0,Oui,0,2,1,1,2,Infra & Cloud,Y,Occasionnel,0,0,1,2,3,3,4,3,3,Oui,13.0,64
28,M,3441,Célibataire,Consulting,Consultant,1,80,2,2,2,Oui,0,3,1,5,4,Entrepreunariat,Y,Occasionnel,2,2,3,3,1,3,3,2,3,Oui,13.0,65
44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,80,9,4,3,Non,1,2,1,1,5,Marketing,Y,Occasionnel,1,3,2,3,2,1,3,2,4,Oui,21.0,68
35,M,9884,Marié(e),Consulting,Manager,2,80,10,4,0,Non,1,3,1,11,2,Transformation Digitale,Y,Aucun,2,3,3,2,3,1,3,3,3,Oui,13.0,70
26,F,4157,Marié(e),Commercial,Cadre Commercial,7,80,5,2,2,Non,1,2,1,23,3,Marketing,Y,Occasionnel,0,0,3,2,2,4,3,2,3,Oui,19.0,72
33,F,13458,Célibataire,Consulting,Directeur Technique,1,80,15,15,14,Non,0,1,1,1,2,Infra & Cloud,Y,Frequent,8,12,1,3,3,4,3,3,3,Oui,12.0,73
35,M,9069,Marié(e),Commercial,Cadre Commercial,1,80,9,9,8,Non,1,3,1,18,5,Infra & Cloud,Y,Frequent,1,8,2,3,3,1,4,2,4,Non,22.0,74
35,F,4014,Marié(e),Consulting,Consultant,3,80,4,2,2,Non,1,3,1,23,4,Transformation Digitale,Y,Occasionnel,2,2,3,3,1,1,3,3,3,Oui,15.0,75
31,M,5915,Divorcé(e),Consulting,Consultant,3,80,10,7,7,Non,1,3,1,7,4,Infra & Cloud,Y,Occasionnel,1,7,4,3,2,4,4,2,4,Non,22.0,76
37,M,5993,Divorcé(e),Consulting,Tech Lead,1,80,7,7,5,Non,1,2,1,1,4,Infra & Cloud,Y,Occasionnel,0,7,1,2,2,3,3,4,3,Non,18.0,77
32,M,6162,Marié(e),Consulting,Tech Lead,1,80,9,9,8,Non,1,3,1,1,3,Transformation Digitale,Y,Occasionnel,7,8,1,3,2,4,2,3,4,Oui,22.0,78
38,F,2406,Célibataire,Consulting,Consultant,1,80,10,10,3,Non,0,2,1,29,5,Infra & Cloud,Y,Frequent,9,9,4,3,2,4,4,3,3,Non,11.0,79
50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,80,29,27,3,Non,1,2,1,7,2,Transformation Digitale,Y,Occasionnel,13,8,2,2,5,3,4,2,3,Oui,12.0,80
59,F,7637,Célibataire,Commercial,Cadre Commercial,7,80,28,21,16,Non,0,3,1,25,3,Infra & Cloud,Y,Occasionnel,7,9,1,3,3,1,4,2,3,Non,11.0,81
36,F,10096,Divorcé(e),Consulting,Manager,1,80,17,17,14,Non,3,2,1,8,3,Entrepreunariat,Y,Occasionnel,12,8,3,3,3,3,2,3,3,Non,13.0,83
55,F,14756,Divorcé(e),Consulting,Senior Manager,2,80,21,5,0,Non,3,2,1,8,3,Transformation Digitale,Y,Occasionnel,0,2,4,3,4,3,3,3,3,Oui,14.0,84
36,M,6499,Célibataire,Consulting,Tech Lead,1,80,6,6,5,Non,0,3,1,11,3,Infra & Cloud,Y,Frequent,0,3,2,2,2,2,3,3,3,Non,13.0,85
45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,80,25,1,0,Non,1,2,1,7,3,Infra & Cloud,Y,Occasionnel,0,0,2,3,3,1,3,3,3,Non,17.0,86
35,M,2194,Marié(e),Consulting,Assistant de Direction,4,80,5,3,2,Non,1,2,1,1,3,Transformation Digitale,Y,Frequent,1,2,2,3,1,1,4,2,3,Non,13.0,88
36,M,3388,Marié(e),Consulting,Assistant de Direction,0,80,2,1,0,Oui,1,0,1,9,3,Transformation Digitale,Y,Occasionnel,0,0,4,2,1,3,1,2,3,Oui,17.0,90
59,F,5473,Célibataire,Commercial,Cadre Commercial,7,80,20,4,3,Non,0,2,1,1,1,Infra & Cloud,Y,Frequent,1,3,1,2,2,3,4,2,3,Non,11.0,91
29,M,2703,Marié(e),Consulting,Assistant de Direction,0,80,6,5,4,Non,1,3,1,2,3,Infra & Cloud,Y,Occasionnel,0,4,3,3,1,2,4,3,4,Non,23.0,94
31,M,2501,Célibataire,Consulting,Assistant de Direction,1,80,1,1,1,Non,0,4,1,1,4,Transformation Digitale,Y,Occasionnel,1,0,3,3,1,2,2,3,3,Non,17.0,95
32,M,6220,Marié(e),Consulting,Assistant de Direction,1,80,10,10,4,Non,2,3,1,1,3,Infra & Cloud,Y,Occasionnel,0,9,2,3,2,2,2,3,3,Non,17.0,96
36,F,3038,Marié(e),Consulting,Consultant,3,80,5,1,0,Non,0,3,1,6,3,Infra & Cloud,Y,Occasionnel,0,0,2,4,1,4,2,3,3,Non,12.0,97
31,F,4424,Célibataire,Consulting,Tech Lead,1,80,11,11,7,Non,0,2,1,8,4,Infra & Cloud,Y,Occasionnel,1,8,3,3,2,4,4,3,4,Non,23.0,98
35,M,4312,Célibataire,Commercial,Cadre Commercial,0,80,16,15,13,Non,0,2,1,1,4,Marketing,Y,Occasionnel,2,8,3,2,2,1,2,3,3,Non,14.0,100
45,M,13245,Marié(e),Consulting,Directeur Technique,4,80,17,0,0,Non,0,3,1,6,4,Autre,Y,Occasionnel,0,0,4,3,3,1,2,4,3,Oui,14.0,101
37,M,13664,Célibataire,Consulting,Directeur Technique,4,80,16,5,2,Non,0,3,1,7,4,Transformation Digitale,Y,Occasionnel,0,2,1,3,3,3,1,4,3,Non,13.0,102
46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,80,16,4,2,Non,1,2,1,5,2,Transformation Digitale,Y,Occasionnel,0,2,2,3,2,2,4,3,4,Oui,22.0,103
30,M,5126,Marié(e),Consulting,Consultant,1,80,10,10,8,Non,2,1,1,1,1,Infra & Cloud,Y,Occasionnel,3,0,4,2,2,4,3,2,3,Oui,12.0,104
35,M,2859,Célibataire,Consulting,Assistant de Direction,1,80,6,6,4,Non,0,3,1,1,3,Transformation Digitale,Y,Occasionnel,0,4,2,2,1,3,1,3,3,Non,18.0,105
55,M,10239,Marié(e),Commercial,Cadre Commercial,3,80,24,1,0,Non,1,4,1,1,2,Infra & Cloud,Y,Occasionnel,1,0,1,3,3,4,4,3,3,Non,14.0,106
38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,80,17,13,11,Non,3,3,1,6,3,Transformation Digitale,Y,Aucun,1,9,2,1,2,4,4,3,3,Oui,12.0,107
34,M,4325,Marié(e),Consulting,Tech Lead,1,80,5,5,2,Non,0,2,1,1,2,Transformation Digitale,Y,Occasionnel,1,3,1,3,2,2,3,3,3,Non,15.0,110
56,M,7260,Célibataire,Consulting,Tech Lead,4,80,37,6,4,Non,0,3,1,7,3,Infra & Cloud,Y,Occasionnel,0,2,4,1,3,4,1,2,3,Non,11.0,112
23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,80,3,0,0,Non,1,3,1,2,1,Entrepreunariat,Y,Occasionnel,0,0,3,3,1,1,3,3,3,Non,13.0,113
51,M,2075,Marié(e),Consulting,Consultant,3,80,10,4,2,Non,2,4,1,9,4,Infra & Cloud,Y,Occasionnel,0,3,4,3,1,4,2,3,4,Non,23.0,116
30,M,4152,Marié(e),Consulting,Manager,1,80,11,11,10,Non,3,3,1,2,3,Infra & Cloud,Y,Occasionnel,10,8,3,2,2,4,1,3,3,Non,19.0,117
46,M,9619,Célibataire,Commercial,Cadre Commercial,1,80,9,9,8,Oui,0,3,1,9,2,Transformation Digitale,Y,Occasionnel,4,7,3,2,3,4,4,3,3,Non,16.0,118
40,M,13503,Marié(e),Consulting,Manager,1,80,22,22,3,Non,1,3,1,1,4,Infra & Cloud,Y,Frequent,11,11,3,2,4,2,4,2,4,Non,22.0,119
51,M,5441,Célibataire,Commercial,Cadre Commercial,0,80,11,10,7,Non,0,2,1,21,4,Marketing,Y,Occasionnel,1,0,3,3,2,4,4,1,4,Oui,22.0,120
30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,80,11,11,8,Non,3,4,1,4,2,Transformation Digitale,Y,Occasionnel,2,7,3,2,2,2,2,2,3,Oui,12.0,121
46,M,10673,Marié(e),Consulting,Manager,2,80,21,10,9,Non,1,5,1,1,3,Transformation Digitale,Y,Frequent,9,5,3,2,3,1,3,2,3,Oui,13.0,124
32,M,5010,Célibataire,Commercial,Cadre Commercial,1,80,12,11,8,Non,0,0,1,6,4,Transformation Digitale,Y,Occasionnel,5,7,2,3,2,3,1,3,3,Non,16.0,125
54,F,13549,Marié(e),Consulting,Directeur Technique,9,80,16,4,3,Non,1,5,1,2,4,Entrepreunariat,Y,Occasionnel,0,3,1,3,3,3,1,1,3,Non,12.0,126
24,F,4999,Marié(e),Commercial,Cadre Commercial,0,80,4,3,2,Non,1,2,1,3,2,Autre,Y,Occasionnel,0,2,1,3,2,3,1,2,4,Non,21.0,128
28,M,4221,Marié(e),Commercial,Cadre Commercial,1,80,5,5,4,Non,0,3,1,4,3,Transformation Digitale,Y,Aucun,0,4,2,3,2,3,2,4,3,Non,15.0,129
58,M,13872,Célibataire,Commercial,Cadre Commercial,0,80,38,37,10,Non,0,1,1,10,4,Transformation Digitale,Y,Occasionnel,1,8,4,3,4,3,3,2,3,Non,13.0,131
44,M,2042,Marié(e),Consulting,Consultant,4,80,17,3,2,Non,1,3,1,23,3,Transformation Digitale,Y,Aucun,1,2,2,3,2,2,3,4,3,Non,12.0,132
37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,80,7,3,2,Oui,0,3,1,6,4,Ressources Humaines,Y,Occasionnel,0,2,3,3,1,1,4,3,4,Oui,22.0,133
32,M,2956,Célibataire,Consulting,Assistant de Direction,1,80,1,1,0,Non,0,2,1,1,1,Infra & Cloud,Y,Occasionnel,0,0,4,3,1,1,4,3,3,Non,13.0,134
20,F,2926,Célibataire,Consulting,Consultant,1,80,1,1,0,Oui,0,5,1,6,3,Infra & Cloud,Y,Frequent,1,0,4,2,1,4,2,3,3,Oui,18.0,137
34,F,4809,Célibataire,Consulting,Assistant de Direction,1,80,16,16,13,Non,0,3,1,6,4,Autre,Y,Occasionnel,2,10,1,3,2,3,3,3,3,Non,14.0,138
37,M,5163,Divorcé(e),Consulting,Manager,5,80,17,1,0,Non,1,2,1,2,2,Infra & Cloud,Y,Aucun,0,0,3,2,2,4,4,4,3,Non,14.0,139
59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,80,30,3,2,Non,1,3,1,2,4,Ressources Humaines,Y,Aucun,2,2,3,2,5,4,4,3,4,Non,21.0,140
50,F,18172,Marié(e),Consulting,Directeur Technique,3,80,28,8,3,Non,0,1,1,1,3,Infra & Cloud,Y,Frequent,0,7,1,3,5,2,1,2,3,Oui,19.0,141
25,M,5744,Célibataire,Commercial,Cadre Commercial,1,80,6,6,4,Oui,0,1,1,5,3,Marketing,Y,Occasionnel,0,3,3,2,2,3,4,3,3,Oui,11.0,142
25,M,2889,Marié(e),Consulting,Assistant de Direction,1,80,2,2,2,Non,2,2,1,7,1,Transformation Digitale,Y,Occasionnel,2,1,4,2,1,4,3,3,3,Non,11.0,143
22,F,2871,Célibataire,Consulting,Consultant,1,80,1,0,0,Non,0,5,1,15,3,Transformation Digitale,Y,Occasionnel,0,0,2,3,1,4,3,3,3,Non,15.0,144
51,F,7484,Célibataire,Consulting,Manager,3,80,23,13,12,Non,0,1,1,1,4,Transformation Digitale,Y,Frequent,12,8,1,2,3,1,3,2,4,Non,20.0,145
34,M,6074,Célibataire,Consulting,Consultant,1,80,9,9,7,Oui,0,3,1,7,3,Infra & Cloud,Y,Frequent,0,6,1,1,2,3,4,3,4,Oui,24.0,147
54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,80,23,5,3,Non,0,3,1,26,3,Ressources Humaines,Y,Aucun,4,4,4,4,4,4,3,3,3,Oui,12.0,148
24,M,2774,Marié(e),Consulting,Consultant,0,80,6,5,3,Non,1,2,1,18,1,Infra & Cloud,Y,Occasionnel,1,2,2,3,1,3,3,3,3,Non,12.0,150
34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,80,12,1,0,Non,1,3,1,6,4,Infra & Cloud,Y,Occasionnel,0,0,3,2,2,2,3,3,3,Non,15.0,151
37,M,7428,Célibataire,Commercial,Cadre Commercial,2,80,12,5,3,Non,0,3,1,3,3,Infra & Cloud,Y,Occasionnel,1,3,3,3,3,4,1,3,3,Non,12.0,152
34,F,11631,Célibataire,Consulting,Senior Manager,2,80,14,11,10,Non,0,6,1,5,3,Transformation Digitale,Y,Occasionnel,5,8,3,2,3,1,4,3,3,Non,12.0,153
36,F,9738,Marié(e),Commercial,Cadre Commercial,0,80,10,9,7,Non,1,6,1,11,2,Entrepreunariat,Y,Frequent,2,8,2,3,3,4,3,3,3,Non,14.0,154
36,F,2835,Divorcé(e),Consulting,Consultant,5,80,7,1,0,Non,1,2,1,3,2,Infra & Cloud,Y,Occasionnel,0,0,1,3,1,4,1,3,4,Non,22.0,155
43,M,16959,Marié(e),Commercial,Senior Manager,1,80,25,25,12,Non,2,3,1,26,2,Infra & Cloud,Y,Frequent,4,12,3,3,4,4,4,4,3,Oui,12.0,158
30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,80,10,10,7,Non,3,2,1,23,3,Infra & Cloud,Y,Frequent,0,9,1,1,1,3,3,2,4,Non,25.0,159
33,M,6146,Marié(e),Commercial,Cadre Commercial,0,80,8,7,7,Non,1,2,1,22,2,Marketing,Y,Aucun,0,7,3,3,2,2,1,4,3,Non,13.0,160
56,F,4963,Marié(e),Consulting,Assistant de Direction,9,80,7,5,4,Oui,3,2,1,14,4,Infra & Cloud,Y,Occasionnel,4,3,2,3,1,2,1,3,3,Oui,18.0,161
51,M,19537,Célibataire,Consulting,Directeur Technique,7,80,23,20,18,Non,0,5,1,6,3,Infra & Cloud,Y,Occasionnel,15,15,1,3,5,3,3,3,3,Non,13.0,162
31,M,6172,Marié(e),Commercial,Cadre Commercial,4,80,12,7,7,Oui,0,3,1,6,4,Infra & Cloud,Y,Occasionnel,7,7,2,1,2,3,2,2,3,Oui,18.0,163
26,F,2368,Marié(e),Consulting,Assistant de Direction,1,80,5,5,4,Non,0,3,1,6,3,Autre,Y,Occasionnel,4,3,3,2,1,2,3,2,3,Non,19.0,164
58,F,10312,Marié(e),Consulting,Manager,1,80,40,40,10,Oui,1,3,1,23,4,Transformation Digitale,Y,Occasionnel,15,6,4,3,3,4,4,2,3,Non,12.0,165
19,M,1675,Célibataire,Commercial,Représentant Commercial,1,80,0,0,0,Oui,0,2,1,22,1,Marketing,Y,Occasionnel,0,0,4,3,1,3,4,2,3,Oui,19.0,167
22,M,2523,Marié(e),Consulting,Consultant,0,80,3,2,1,Non,1,2,1,2,1,Entrepreunariat,Y,Occasionnel,2,1,3,3,1,4,3,3,3,Non,14.0,169
49,F,6567,Marié(e),Consulting,Tech Lead,1,80,16,15,11,Non,0,2,1,20,4,Transformation Digitale,Y,Occasionnel,5,11,3,3,2,1,3,2,3,Non,14.0,170
43,F,4739,Célibataire,Consulting,Assistant de Direction,4,80,18,3,2,Non,0,2,1,28,3,Transformation Digitale,Y,Frequent,1,2,2,4,1,3,4,3,3,Non,12.0,171
50,F,9208,Célibataire,Commercial,Cadre Commercial,4,80,16,2,2,Non,0,3,1,12,3,Marketing,Y,Frequent,2,1,3,3,3,4,4,3,3,Non,11.0,174
31,F,4559,Marié(e),Commercial,Cadre Commercial,3,80,4,2,2,Oui,1,2,1,20,3,Infra & Cloud,Y,Occasionnel,2,2,2,1,2,3,3,3,3,Oui,11.0,175
41,M,8189,Divorcé(e),Commercial,Cadre Commercial,3,80,12,9,7,Non,1,2,1,9,1,Infra & Cloud,Y,Occasionnel,0,7,3,3,3,3,3,3,3,Oui,13.0,176
26,F,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,80,8,8,7,Non,1,3,1,25,1,Infra & Cloud,Y,Occasionnel,5,7,3,3,1,3,4,3,4,Non,23.0,177
36,M,4941,Divorcé(e),Consulting,Tech Lead,6,80,7,3,2,Non,2,0,1,6,2,Transformation Digitale,Y,Occasionnel,0,1,2,3,2,2,4,3,4,Non,20.0,178
51,M,10650,Célibataire,Consulting,Tech Lead,2,80,18,4,2,Oui,0,2,1,8,4,Infra & Cloud,Y,Frequent,0,3,1,1,3,4,4,3,3,Non,15.0,179
39,F,5902,Marié(e),Commercial,Cadre Commercial,4,80,17,15,11,Non,1,1,1,4,4,Infra & Cloud,Y,Occasionnel,5,9,4,2,2,3,3,4,3,Non,14.0,182
25,M,8639,Marié(e),Commercial,Cadre Commercial,2,80,6,2,2,Non,0,3,1,28,3,Infra & Cloud,Y,Occasionnel,2,2,1,2,2,3,4,3,3,Non,18.0,183
30,M,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,80,12,11,9,Non,0,2,1,9,3,Ressources Humaines,Y,Occasionnel,4,7,3,3,2,4,4,1,3,Oui,19.0,184
32,F,4200,Célibataire,Consulting,Consultant,7,80,10,5,4,Oui,0,2,1,9,3,Transformation Digitale,Y,Occasionnel,0,4,1,3,1,1,1,4,4,Non,22.0,190
